time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-02-06T21:15:17.630Z,38.0646,37.0764,6.316,4.8,mb,94,49,0.897,0.76,us,us6000jm30,2023-02-06T21:29:41.040Z,"9 km W of Ekinözü, Turkey",earthquake,6.04,4.478,0.063,77,reviewed,us,us
2023-02-06T20:53:24.243Z,38.2038,38.2945,10,4.9,mb,98,55,1.342,0.96,us,us6000jm2v,2023-02-06T21:08:29.040Z,"11 km SSE of Ye?ilyurt, Turkey",earthquake,5.23,1.862,0.068,68,reviewed,us,us
2023-02-06T20:44:00.124Z,37.987,36.5522,10,5,mb,63,44,0.967,0.61,us,us6000jm2t,2023-02-06T21:00:31.040Z,"6 km SE of Göksun, Turkey",earthquake,4.39,1.841,0.071,63,reviewed,us,us
2023-02-06T20:37:52.300Z,37.1694,37.0781,10,5.3,mww,64,69,0.105,1.23,us,us6000jm2r,2023-02-06T21:06:38.611Z,"29 km WNW of Gaziantep, Turkey",earthquake,5.73,1.921,0.075,17,reviewed,us,us
2023-02-06T20:20:16.326Z,24.268,121.8074,20.55,4.8,mb,68,85,0.216,1.02,us,us6000jm2l,2023-02-06T21:23:14.240Z,"38 km NNE of Hualien City, Taiwan",earthquake,3.32,2.889,0.062,82,reviewed,us,us
2023-02-06T20:05:35.367Z,37.9592,36.3495,10,4.7,mb,72,38,0.975,1.38,us,us6000jm29,2023-02-06T20:41:33.040Z,"14 km WSW of Göksun, Turkey",earthquake,4.37,1.072,0.064,74,reviewed,us,us
2023-02-06T19:40:16.045Z,38.0272,38.179,5.578,4.6,mb,89,54,1.15,0.7,us,us6000jm2a,2023-02-06T21:44:28.040Z,"eastern Turkey",earthquake,5.11,4.893,0.067,67,reviewed,us,us
2023-02-06T18:03:54.838Z,38.0154,36.4567,10,5.3,mww,105,23,0.963,1.44,us,us6000jm1p,2023-02-06T18:39:03.504Z,"3 km W of Göksun, Turkey",earthquake,5.04,1.8,0.098,10,reviewed,us,us
2023-02-06T17:32:50.659Z,-15.6058,-172.7572,10,5,mb,72,87,2.514,1.04,us,us6000jlyl,2023-02-06T17:52:35.040Z,"117 km ENE of Hihifo, Tonga",earthquake,7.27,1.877,0.06,89,reviewed,us,us
2023-02-06T17:31:33.485Z,36.9688,36.7689,10,4.5,mb,51,114,0.407,1.24,us,us6000jly1,2023-02-06T18:43:00.040Z,"Turkey-Syria border region",earthquake,6.91,1.894,0.1,29,reviewed,us,us
2023-02-06T17:26:24.448Z,38.0732,36.6965,10,4.7,mb,80,43,0.987,1.17,us,us6000jlwh,2023-02-06T18:33:28.040Z,"18 km ENE of Göksun, Turkey",earthquake,5.16,1.84,0.069,64,reviewed,us,us
2023-02-06T16:55:37.348Z,38.0975,37.4326,16.247,4.5,mb,82,67,1.455,0.51,us,us6000jlth,2023-02-06T20:45:06.040Z,"14 km N of Nurhak, Turkey",earthquake,6.06,4.438,0.077,49,reviewed,us,us
2023-02-06T16:43:29.298Z,37.9616,36.4753,10,5,mb,126,34,0.981,0.77,us,us6000jlta,2023-02-06T18:11:37.184Z,"6 km SSW of Göksun, Turkey",earthquake,3.3,1.655,0.047,143,reviewed,us,us
2023-02-06T16:32:11.313Z,36.6111,36.4444,10,4.9,mb,51,93,0.831,0.97,us,us6000jlt7,2023-02-06T18:40:09.801Z,"14 km NNE of K?r?khan, Turkey",earthquake,8.01,1.87,0.063,79,reviewed,us,us
2023-02-06T16:26:39.603Z,38.0304,36.6206,10,4.8,mb,68,39,0.976,0.67,us,us6000jlt1,2023-02-06T16:45:58.040Z,"10 km E of Göksun, Turkey",earthquake,5.13,1.845,0.065,73,reviewed,us,us
2023-02-06T16:26:15.509Z,37.9847,36.9072,10,4.6,mb,88,61,0.846,0.58,us,us6000jlt5,2023-02-06T17:02:26.040Z,"26 km WSW of Ekinözü, Turkey",earthquake,6.3,1.863,0.074,55,reviewed,us,us
2023-02-06T15:33:32.803Z,38.161,38.1869,8.774,5.2,mb,94,66,1.255,0.94,us,us6000jlsu,2023-02-06T15:49:49.040Z,"eastern Turkey",earthquake,3.93,4.267,0.061,88,reviewed,us,us
2023-02-06T15:14:34.430Z,37.8679,37.7388,10,5.3,mb,108,55,0.812,0.73,us,us6000jlsq,2023-02-06T18:21:03.780Z,"12 km NE of Gölba??, Turkey",earthquake,4.92,1.838,0.046,156,reviewed,us,us
2023-02-06T14:57:47.066Z,37.9248,37.9099,10,4.5,mb,25,108,1.867,0.59,us,us6000jlsn,2023-02-06T17:54:08.040Z,"14 km N of Tut, Turkey",earthquake,6.66,1.933,0.135,16,reviewed,us,us
2023-02-06T14:29:58.740Z,37.9949,36.5123,10,4.7,mb,39,95,0.991,1.11,us,us6000jlsf,2023-02-06T17:49:03.040Z,"3 km SSE of Göksun, Turkey",earthquake,3.37,1.888,0.086,41,reviewed,us,us
2023-02-06T14:27:43.378Z,36.7725,36.5341,10,4.5,mb,59,71,0.672,0.96,us,us6000jlse,2023-02-06T20:03:37.040Z,"2 km WSW of A?a?? Karafak?l?, Turkey",earthquake,5.05,1.893,0.083,42,reviewed,us,us
2023-02-06T14:10:11.931Z,37.8331,37.4605,16.453,4.5,mb,48,89,0.689,0.64,us,us6000jlsb,2023-02-06T18:26:20.040Z,"14 km S of Nurhak, Turkey",earthquake,5.63,5.044,0.086,40,reviewed,us,us
2023-02-06T13:44:51.613Z,37.9272,37.5076,17.336,5,mb,76,76,0.79,0.52,us,us6000jls6,2023-02-06T18:19:44.917Z,"Central Turkey",earthquake,4.95,1.715,0.061,84,reviewed,us,us
2023-02-06T13:39:11.346Z,37.5953,36.962,10,5.1,mb,45,60,0.466,0.9,us,us6000jls3,2023-02-06T18:20:09.404Z,"3 km ENE of Kahramanmara?, Turkey",earthquake,4.65,1.855,0.104,30,reviewed,us,us
2023-02-06T13:17:41.894Z,37.9123,36.3121,10,4.9,mb,76,30,1.007,0.83,us,us6000jls0,2023-02-06T15:20:26.286Z,"20 km SW of Göksun, Turkey",earthquake,3.36,1.86,0.064,77,reviewed,us,us
